Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2016-10-09,1.13,101087.84,3641.46,87174.41,102.15,10169.82,9744.41,425.41,0,conventional,2016,Albany
2016-10-02,1.51,75480.26,4109.22,57515.76,84.08,13771.2,13345.52,425.68,0,conventional,2016,Albany
2016-09-25,1.62,96853.15,7658.55,79425.81,43.25,9725.54,9586.8,138.74,0,conventional,2016,Albany
2016-09-18,1.39,79513.63,6624.37,63384.56,37.48,9467.22,8958.14,509.08,0,conventional,2016,Albany
2016-09-11,1.37,81473.15,6258.88,63511.85,42.26,11660.16,10839.17,815.99,5,conventional,2016,Albany
2016-09-04,1.44,95456.26,14741.13,64966.75,88.11,15660.27,15340.19,220.08,100,conventional,2016,Albany
2016-08-28,1.18,145323.22,34912.97,94928.79,53.85,15427.61,14367.64,269.97,790,conventional,2016,Albany
2016-08-21,1.43,94882.79,14520.36,63416.88,28.03,16917.52,15811,286.52,820,conventional,2016,Albany
2016-08-14,1.2,110528.09,24000.62,72970.23,26.76,13530.48,12434.82,350.1,745.56,conventional,2016,Albany
2016-08-07,1.48,99683.11,14670.87,69054.28,10.9,15947.06,14597.2,178.19,1171.67,conventional,2016,Albany
2016-07-31,1.61,125586.57,9293.65,96915.41,25.46,19352.05,18803.23,78.82,470,conventional,2016,Albany
2016-07-24,1.46,98321.14,11580.64,65195.63,13.73,21531.14,18639.29,241.85,2650,conventional,2016,Albany
2016-07-17,1.31,89228.02,9273.69,64260.69,80.07,15613.57,13439.76,688.81,1485,conventional,2016,Albany
2016-07-10,1.11,131630.13,20970.24,96581.82,46.49,14031.58,10876,470.58,2685,conventional,2016,Albany
2016-07-03,1.42,115907.61,8373.77,82122.04,146.83,25264.97,21872.64,492.33,2900,conventional,2016,Albany
2016-06-26,1.5,133086.66,7923.01,106656.84,37.42,18469.39,16479.75,419.64,1570,conventional,2016,Albany
2016-06-19,1.42,112817.51,6766.63,85374.27,30.07,20646.54,18526.59,389.95,1730,conventional,2016,Albany
2016-06-12,1.38,111394.5,7531.24,83771.34,81.25,20010.67,18368.49,282.18,1360,conventional,2016,Albany
2016-06-05,1.47,115857.12,4288.46,92055.75,53.98,19458.93,17385.6,398.33,1675,conventional,2016,Albany
2016-05-29,1.49,127812.25,2580.77,104876.94,103.64,20250.9,19519.92,180.98,550,conventional,2016,Albany
2016-05-22,1.34,98863.64,929.07,74678.36,59.07,23197.14,22571.49,20.65,605,conventional,2016,Albany
2016-05-15,1.36,96924.19,901.65,75847.91,82.97,20091.66,19802.87,288.79,0,conventional,2016,Albany
2016-05-08,1.27,120194.49,1041.95,96137.78,84.8,22929.96,22697.54,232.42,0,conventional,2016,Albany
2016-05-01,1.03,173781.78,884.01,163570.47,37.84,9289.46,8918.99,321.86,48.61,conventional,2016,Albany
2016-04-24,1.18,102490.2,954.6,87571.23,43.15,13921.22,13463.97,337.81,119.44,conventional,2016,Albany
2016-04-17,1.22,86433.63,898.63,70042.6,25,15467.4,14642.65,712.25,112.5,conventional,2016,Albany
2016-04-10,1.46,70253.3,972.15,56128.98,38,13114.17,12671.09,443.08,0,conventional,2016,Albany
2016-04-03,0.85,81694.23,676.27,70459.66,31.2,10527.1,10058.25,468.85,0,conventional,2016,Albany
2016-03-27,1.49,92529.27,808.5,78146.18,36.73,13537.86,13037.43,500.43,0,conventional,2016,Albany
2016-03-20,1.32,110401.88,764.97,97082.4,70.15,12484.36,12286.01,198.35,0,conventional,2016,Albany
2016-03-13,1.18,108264.9,847.64,96117.13,60.99,11239.14,10817.56,421.58,0,conventional,2016,Albany
2016-03-06,1.27,90633.66,972.34,74693.31,56.26,14911.75,14476.23,435.52,0,conventional,2016,Albany
2016-02-28,1.26,87822.43,805.41,72159.95,63.13,14793.94,13739.89,1054.05,0,conventional,2016,Albany
2016-02-21,1.28,99817.47,869.16,84484.99,24.98,14438.34,12280.58,2157.76,0,conventional,2016,Albany
2016-02-14,1.13,98008.16,1640.86,77133.01,12,19222.29,17663.46,1558.83,0,conventional,2016,Albany
2016-02-07,1.07,169614.01,2031.67,157271.87,109.88,10200.59,9349.67,850.92,0,conventional,2016,Albany
2016-01-31,1.16,102038.32,1386.24,79881.67,69.46,20700.95,19788.78,912.17,0,conventional,2016,Albany
2016-01-24,1.22,96089.13,545.37,70802.56,68.41,24672.79,23926.35,746.44,0,conventional,2016,Albany
2016-01-17,1.26,119972.41,1202.52,100613.46,51.22,18105.21,17980.53,124.68,0,conventional,2016,Albany
2016-01-10,1.28,79121.77,848.19,66696.97,109.08,11467.53,11293.65,173.88,0,conventional,2016,Albany
2016-01-03,1.03,149038.15,939.71,139735.9,132.35,8230.19,8056.43,173.76,0,conventional,2016,Albany
2017-12-31,1.47,113514.42,2622.7,101135.53,20.25,9735.94,5556.98,4178.96,0,conventional,2017,Albany
2017-12-24,1.45,77039.09,2811.71,58592.23,19.06,15616.09,6863.18,8752.91,0,conventional,2017,Albany
2017-12-17,1.43,70677.56,2578.95,50811.52,79.18,17207.91,8914.13,8293.78,0,conventional,2017,Albany
2017-12-10,1.29,92325.53,3220.05,75147.56,104.36,13853.56,7268.21,6585.35,0,conventional,2017,Albany
2017-12-03,1.39,139970,3772,126551,136,9511,7061,2450,0,conventional,2017,Albany
2017-11-26,1.5,62977,2413,49076,62,11426,5059,6368,0,conventional,2017,Albany
2017-11-19,1.65,97273,2695,80596,43,13940,7536,6404,0,conventional,2017,Albany
2017-11-12,1.26,113586,4509,96748,213,12115,8006,4109,0,conventional,2017,Albany
2017-11-05,1.62,71076.94,2483.36,55509.31,33.88,13050.39,9877.42,3172.97,0,conventional,2017,Albany
2017-10-29,1.67,69432.23,2959.76,57585.49,57.94,8829.04,5050.91,3778.13,0,conventional,2017,Albany
2017-10-22,1.56,69704.09,3758.8,57340.3,35.48,8569.51,5101.64,3467.87,0,conventional,2017,Albany
2017-10-15,1.65,73574.89,3383.35,63355.37,62.45,6773.72,3882.02,2891.7,0,conventional,2017,Albany
2017-10-08,1.78,55368.61,3679.82,45843.75,42.63,5802.41,2148.2,3654.21,0,conventional,2017,Albany
2017-10-01,1.69,71205.11,4411.02,57416.25,77.85,9299.99,5069.66,4230.33,0,conventional,2017,Albany
2017-09-24,1.64,68539.64,2508.62,56023.16,74.82,9933.04,5391.35,4541.69,0,conventional,2017,Albany
2017-09-17,1.41,80109.29,3986.2,66934.64,33.59,9154.86,5289.78,3851.75,13.33,conventional,2017,Albany
2017-09-10,1.78,99645.88,3368.35,87155.11,136.96,8985.46,4559.36,3672.77,753.33,conventional,2017,Albany
2017-09-03,1.76,74297.64,4738.38,59299.03,121.57,10138.66,4615.19,3646.8,1876.67,conventional,2017,Albany
2017-08-27,1.61,75471.56,2156.2,59831.83,71.46,13412.07,9395.94,3709.46,306.67,conventional,2017,Albany
2017-08-20,1.61,74620.33,1553.71,59028.13,130.14,13908.35,8599.25,4155.77,1153.33,conventional,2017,Albany
2017-08-13,1.52,133070.41,1947.26,118605.14,186.67,12331.34,8301.97,3132.71,896.66,conventional,2017,Albany
2017-08-06,1.53,92938.17,2456.91,76509.07,336.06,13636.13,5918.21,6844.59,873.33,conventional,2017,Albany
2017-07-30,1.61,83599.96,1915.81,73287.66,321.62,8074.87,5552.63,1932.24,590,conventional,2017,Albany
2017-07-23,1.49,84416.61,1905.52,72533.28,940.58,9037.23,3250.3,4896.93,890,conventional,2017,Albany
2017-07-16,1.39,102461.61,2468.78,86707.66,2546.08,10739.09,4950.13,4788.96,1000,conventional,2017,Albany
2017-07-09,1.52,101331.41,2899.46,81929.02,494.51,16008.42,8213.25,5210.17,2585,conventional,2017,Albany
2017-07-02,1.56,98282.07,2808.47,79968.24,741.19,14764.17,6549.32,6584.85,1630,conventional,2017,Albany
2017-06-25,1.53,89303.04,2224.67,74282.58,129.85,12665.94,4686.34,6874.6,1105,conventional,2017,Albany
2017-06-18,1.58,97079.34,2454.01,82154.43,723.07,11747.83,3875.12,6697.71,1175,conventional,2017,Albany
2017-06-11,1.65,91949.26,1989.84,76736.87,364.68,12857.87,2704.43,8235.11,1918.33,conventional,2017,Albany
2017-06-04,1.7,84842.97,1923.04,72573.09,100.07,10246.77,2834.14,6342.63,1070,conventional,2017,Albany
2017-05-28,1.8,121869.11,2345.65,106690.16,105.74,12727.56,6141.75,6029.14,556.67,conventional,2017,Albany
2017-05-21,1.38,100256.85,2307.02,86817.51,334.01,10798.31,5338.56,5203.08,256.67,conventional,2017,Albany
2017-05-14,1.77,96750.67,2804.86,80469.48,196.39,13279.94,5727.85,7552.09,0,conventional,2017,Albany
2017-05-07,1.47,127193.26,2473.53,87791.87,121.07,36806.79,9600.81,27205.98,0,conventional,2017,Albany
2017-04-30,1.13,124926.39,2573.11,99451.52,81.89,22819.87,10547.36,12272.51,0,conventional,2017,Albany
2017-04-23,1.34,89327.1,4437.5,61512.84,84.45,23292.31,8236.01,15056.3,0,conventional,2017,Albany
2017-04-16,1.62,90487.05,4362.98,71957.73,161.28,14005.06,7179.98,6825.08,0,conventional,2017,Albany
2017-04-09,1.54,105436.11,3708.13,87775.86,44.28,13907.84,7121.61,6786.23,0,conventional,2017,Albany
2017-04-02,1.62,92621.11,4530.8,68015.37,97.26,19977.68,6332.44,13645.24,0,conventional,2017,Albany
2017-03-26,1.16,122951.65,3184.29,100854.22,70.17,18842.97,7252.7,11590.27,0,conventional,2017,Albany
2017-03-19,1.6,92774.61,2332.96,72033.15,140.57,18267.93,8302.27,9965.66,0,conventional,2017,Albany
2017-03-12,1.54,95713.29,2046.8,67162.63,89.32,26414.54,10990.08,15424.46,0,conventional,2017,Albany
2017-03-05,1.18,107354.25,3123.26,90784.49,57.86,13388.64,13277.29,111.35,0,conventional,2017,Albany
2017-02-26,1.4,88371.09,3190.28,73959.76,71.2,11149.85,10910.4,239.45,0,conventional,2017,Albany
2017-02-19,1.67,95475.07,2702.57,81691.54,125.48,10955.48,10784.07,171.41,0,conventional,2017,Albany
2017-02-12,1.42,97215.94,3808.43,81070.44,175.6,12161.47,11650.91,510.56,0,conventional,2017,Albany
2017-02-05,1.49,183549.08,5666.6,165530.03,2119.02,10233.43,10047.32,186.11,0,conventional,2017,Albany
2017-01-29,1.31,95424.59,3844.62,78315.15,484.56,12780.26,12393.84,382.06,4.36,conventional,2017,Albany
2017-01-22,1.59,128679.24,4119.94,111173.08,2191.71,11194.51,11060.19,125.5,8.82,conventional,2017,Albany
2017-01-15,1.55,88526.26,3327.65,71956.77,607.03,12634.81,12574.72,60.09,0,conventional,2017,Albany
2017-01-08,1.55,91728.18,3355.47,75641.23,56.91,12674.57,12606.67,67.9,0,conventional,2017,Albany
2017-01-01,1.47,129948.23,4845.77,117027.41,200.36,7874.69,7866.86,7.83,0,conventional,2017,Albany
2018-03-25,1.57,149396.5,16361.69,109045.03,65.45,23924.33,19273.8,4270.53,380,conventional,2018,Albany
2018-03-18,1.35,105304.65,13234.86,61037.58,55,30977.21,26755.9,3721.31,500,conventional,2018,Albany
2018-03-11,1.12,144648.75,15823.35,110950.68,70,17804.72,14480.52,3033.09,291.11,conventional,2018,Albany
2018-03-04,1.08,139520.6,12002.12,105069.57,95.62,22353.29,16128.51,5941.45,283.33,conventional,2018,Albany
2018-02-25,1.28,104278.89,10368.77,59723.32,48,34138.8,30126.31,3702.49,310,conventional,2018,Albany
2018-02-18,1.43,85630.24,5499.73,61661.76,75,18393.75,15677.67,2336.08,380,conventional,2018,Albany
2018-02-11,1.45,121804.36,8183.48,95548.47,61,18011.41,13264.91,4295.39,451.11,conventional,2018,Albany
2018-02-04,1.03,216738.47,7625.65,195725.06,143.53,13244.23,10571.6,2422.63,250,conventional,2018,Albany
2018-01-28,1.57,93625.03,3101.17,74627.23,55.59,15841.04,11614.79,4159.58,66.67,conventional,2018,Albany
2018-01-21,1.69,135196.35,3133.37,116520.88,88.78,15453.32,10023.79,5429.53,0,conventional,2018,Albany
2018-01-14,1.42,95246.38,2897.41,76570.67,44,15734.3,10012.8,5721.5,0,conventional,2018,Albany
2018-01-07,1.13,98540.22,2940.63,76192.61,42.63,19364.35,8633.09,10707.93,23.33,conventional,2018,Albany
